"CLAVEGEO","ENTIDAD","DISTRITO","POBTOT","POBMAS","POBFEM","P_0A2","P_0A2_M","P_0A2_F","P_3YMAS","P_3YMAS_M","P_3YMAS_F","P_5YMAS","P_5YMAS_M","P_5YMAS_F","P_12YMAS","P_12YMAS_M","P_12YMAS_F","P_15YMAS","P_15YMAS_M","P_15YMAS_F","P_18YMAS","P_18YMAS_M","P_18YMAS_F","P_3A5","P_3A5_M","P_3A5_F","P_6A11","P_6A11_M","P_6A11_F","P_8A14","P_8A14_M","P_8A14_F","P_12A14","P_12A14_M","P_12A14_F","P_15A17","P_15A17_M","P_15A17_F","P_18A24","P_18A24_M","P_18A24_F","P_15A49_F","P_60YMAS","P_60YMAS_M","P_60YMAS_F","REL_H_M","POB0_14","POB15_64","POB65_MAS","PROM_HNV","PNACENT","PNACENT_M","PNACENT_F","PNACOE","PNACOE_M","PNACOE_F","PRES2005","PRES2005_M","PRES2005_F","PRESOE05","PRESOE05_M","PRESOE05_F","P3YM_HLI","P3YM_HLI_M","P3YM_HLI_F","P3HLINHE","P3HLINHE_M","P3HLINHE_F","P3HLI_HE","P3HLI_HE_M","P3HLI_HE_F","P5_HLI","P5_HLI_NHE","P5_HLI_HE","PHOG_IND","PCON_LIM","PCLIM_MOT","PCLIM_VIS","PCLIM_LENG","PCLIM_AUD","PCLIM_MOT2","PCLIM_MEN","PCLIM_MEN2","PSIN_LIM","P3A5_NOA","P3A5_NOA_M","P3A5_NOA_F","P6A11_NOA","P6A11_NOAM","P6A11_NOAF","P12A14NOA","P12A14NOAM","P12A14NOAF","P15A17A","P15A17A_M","P15A17A_F","P18A24A","P18A24A_M","P18A24A_F","P8A14AN","P8A14AN_M","P8A14AN_F","P15YM_AN","P15YM_AN_M","P15YM_AN_F","P15YM_SE","P15YM_SE_M","P15YM_SE_F","P15PRI_IN","P15PRI_INM","P15PRI_INF","P15PRI_CO","P15PRI_COM","P15PRI_COF","P15SEC_IN","P15SEC_INM","P15SEC_INF","P15SEC_CO","P15SEC_COM","P15SEC_COF","P18YM_PB","P18YM_PB_M","P18YM_PB_F","GRAPROES","GRAPROES_M","GRAPROES_F","PEA","PEA_M","PEA_F","PE_INAC","PE_INAC_M","PE_INAC_F","POCUPADA","POCUPADA_M","POCUPADA_F","PDESOCUP","PDESOCUP_M","PDESOCUP_F","PSINDER","PDER_SS","PDER_IMSS","PDER_ISTE","PDER_ISTEE","PDER_SEGP","P12YM_SOLT","P12YM_CASA","P12YM_SEPA","PCATOLICA","PNCATOLICA","POTRAS_REL","PSIN_RELIG","TOTHOG","HOGJEF_M","HOGJEF_F","POBHOG","PHOGJEF_M","PHOGJEF_F","VIVTOT","TVIVHAB","TVIVPAR","VIVPAR_HAB","TVIVPARHAB","VIVPAR_DES","VIVPAR_UT","OCUPVIVPAR","PROM_OCUP","PRO_OCUP_C","VPH_PISODT","VPH_PISOTI","VPH_1DOR","VPH_2YMASD","VPH_1CUART","VPH_2CUART","VPH_3YMASC","VPH_C_ELEC","VPH_S_ELEC","VPH_AGUADV","VPH_AGUAFV","VPH_EXCSA","VPH_DRENAJ","VPH_NODREN","VPH_C_SERV","VPH_SNBIEN","VPH_RADIO","VPH_TV","VPH_REFRI","VPH_LAVAD","VPH_AUTOM","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER"
"02001",2,1,371939,188927,183012,21061,10807,10254,345680,175530,170150,330936,168026,162910,279567,141767,137800,257845,130808,127037,236492,119907,116585,22055,11238,10817,44058,22525,21533,51442,26230,25212,21722,10959,10763,21353,10901,10452,49135,25090,24045,100305,24807,12151,12656,1.03,108896,241656,16189,2.25,240819,122923,117896,116004,58230,57774,310813,157122,153691,12631,6426,6205,1666,1003,663,1,0,1,1098,665,433,1646,1,1094,3753,13762,7563,4017,1232,1036,884,687,1456,350520,11316,5752,5564,1101,575,526,1225,651,574,14875,7616,7259,13193,6695,6498,1049,605,444,7704,3821,3883,11325,5743,5582,27073,14059,13014,34706,17096,17610,18405,10078,8327,71303,35425,35878,84605,43578,41027,7.18,8.86,8.85,161419,106135,55284,116473,34731,81742,154082,100391,53691,7337,5744,1593,80292,285663,180336,15159,12794,74101,93490,156541,28732,269939,50422,162,40316,102101,78483,23618,366388,290100,76288,138964,103807,137258,102101,103777,26558,8599,366388,3.53,.99,98684,2555,37339,64041,3383,16853,81044,100455,1036,98066,3048,100289,88338,12287,86964,485,80340,99026,97362,87183,74842,38038,41337,85268,27526
"02002",2,2,285322,143720,141602,11018,5590,5428,264738,133319,131419,256889,129370,127519,227181,114294,112887,213430,107240,106190,199000,99803,99197,11805,5976,5829,25752,13049,12703,31484,15974,15510,13751,7054,6697,14430,7437,6993,34247,17891,16356,72387,34700,15618,19082,1.01,62326,189550,23880,2.14,180869,92699,88170,81323,39048,42275,241839,121192,120647,8068,4048,4020,1338,719,619,17,7,10,759,392,367,1310,15,751,2384,12709,7806,2946,1096,1128,973,622,1366,256364,5031,2542,2489,571,324,247,496,275,221,11922,6126,5796,15434,7954,7480,366,228,138,3919,1727,2192,6656,3187,3469,16877,8591,8286,21301,9787,11514,11923,7321,4602,38276,19121,19155,106877,53962,52915,8.54,10.31,10.43,122427,76260,46167,98963,33213,65750,117264,72284,44980,5163,3976,1187,66045,204334,122638,21440,16488,27619,84029,113833,28224,217835,31669,544,20290,80725,57791,22934,271378,203680,67698,103876,83885,100716,80725,83856,15328,4663,271378,3.24,.75,78330,1478,20070,59950,1747,6488,71673,79661,442,78310,1417,79614,76828,2919,75686,257,69511,78654,77726,71725,65113,45774,52851,66884,40045
"02003",2,3,359938,180110,179828,19218,9680,9538,338274,169210,169064,324544,162194,162350,275756,137566,138190,254463,126813,127650,232572,115651,116921,20522,10473,10049,41996,21171,20825,49948,25270,24678,21293,10753,10540,21891,11162,10729,48886,24889,23997,97694,29224,14183,15041,1,103029,235059,19404,2.2,203746,101765,101981,144912,72519,72393,294041,145482,148559,23440,12476,10964,21853,11049,10804,1340,448,892,19215,9966,9249,21383,1193,18926,42586,12374,7170,2885,1061,1068,663,540,1311,343155,10728,5574,5154,1793,930,863,1737,887,850,14977,7532,7445,15396,7880,7516,2042,1114,928,13866,5929,7937,16703,7611,9092,31594,16119,15475,35585,17567,18018,16781,9251,7530,50351,25491,24860,92701,46009,46692,7.77,8.91,8.85,160058,100540,59518,114526,36341,78185,154370,96317,58053,5688,4223,1465,90948,265747,128769,19698,12823,92914,96902,147147,31093,234966,67568,494,49969,99760,74157,25603,355412,274245,81167,130509,100604,129665,99760,100518,18345,11560,355412,3.54,.96,93924,3474,33408,64264,9890,13825,73820,95042,2677,86649,10787,96534,79061,18167,74121,1742,77266,91537,83587,74375,66484,39792,44370,78982,31719
"02004",2,4,442023,222197,219826,26334,13503,12831,414049,207881,206168,395033,198229,196804,326632,163616,163016,297657,148960,148697,269964,134878,135086,28335,14342,13993,59082,29923,29159,69254,35069,34185,28975,14656,14319,27693,14082,13611,57649,28915,28734,126911,17481,8296,9185,1.01,142726,287148,10509,2.07,191178,96678,94500,234754,117064,117690,358282,178873,179409,26726,13265,13461,3841,2094,1747,106,35,71,2894,1584,1310,3774,99,2861,8006,12930,6362,4210,1209,941,647,774,1333,424242,16902,8578,8324,2055,1084,971,1808,986,822,19549,9857,9692,13531,6737,6794,1530,927,603,7113,3040,4073,10847,5078,5769,26352,12882,13470,53507,25476,28031,22802,11985,10817,79837,39560,40277,92327,48214,44113,8.08,8.87,8.67,191874,123654,68220,133149,38988,94161,181263,115130,66133,10611,8524,2087,144022,294833,216730,10977,5458,50591,111829,182971,30726,320393,73360,405,39883,113094,86115,26979,439258,342043,97215,141761,113637,141218,113094,113592,24500,3624,439258,3.87,1.09,106726,5542,34753,77704,7511,19753,85096,111702,851,107385,4896,111215,109294,2916,104937,385,95487,110134,103584,86032,69828,45699,47955,96237,35110
"02005",2,5,310215,157244,152971,13688,6834,6854,294553,149359,145194,284698,144334,140364,250333,126945,123388,234733,119037,115696,218437,110756,107681,14603,7443,7160,29617,14971,14646,35768,18051,17717,15600,7908,7692,16296,8281,8015,41586,21468,20118,86744,27265,12459,14806,1.03,73508,216863,17870,1.95,153674,80327,73347,130827,63177,67650,259969,131215,128754,15394,7527,7867,1841,991,850,13,6,7,1176,629,547,1814,12,1166,3570,8931,5179,2141,819,737,507,440,1039,288943,7408,3731,3677,936,501,435,759,420,339,12557,6293,6264,14394,7239,7155,639,351,288,3692,1493,2199,6741,3142,3599,17856,9682,8174,30893,14586,16307,15244,9402,5842,46611,22739,23872,106620,54671,51949,9.86,9.71,10.01,142788,88562,54226,98585,30455,68130,136371,83744,52627,6417,4818,1599,112830,186536,122869,13916,5364,21523,93486,127248,28844,240963,37286,1061,24668,87886,62291,25595,299701,219737,79964,112019,88524,111381,87886,88477,19979,3516,299701,3.39,.81,84628,2212,24117,63209,4433,10394,72415,87117,343,86118,1091,86952,86599,603,85480,193,79140,86098,82691,69644,61963,48998,54398,74484,43379
"02006",2,6,380075,190069,190006,19493,9867,9626,356145,177975,178170,342068,170785,171283,292678,145556,147122,271552,134791,136761,250654,124215,126439,20848,10680,10168,42619,21739,20880,50004,25533,24471,21126,10765,10361,20898,10576,10322,45958,22775,23183,105448,29723,13632,16091,1,104086,251978,19574,2.08,188241,95158,93083,160699,78279,82420,313803,155518,158285,15813,7584,8229,3065,1611,1454,36,13,23,2294,1204,1090,3037,33,2287,6626,15361,8496,4572,1089,1167,740,760,1510,356667,11125,5735,5390,1309,735,574,1213,642,571,15582,7780,7802,13350,6503,6847,908,544,364,5619,2374,3245,9154,4060,5094,22495,10773,11722,41389,19751,21638,18370,10042,8328,63441,31345,32096,103738,52806,50932,9.4,9.5,9.3,169243,107759,61484,120991,36305,84686,159613,100187,59426,9630,7572,2058,143676,229755,137315,14668,8582,49278,104468,152481,33930,279908,56447,674,32523,105989,75766,30223,373280,275507,97773,139663,107431,138221,105989,107336,26628,5604,373280,3.48,.91,101947,2761,32015,72995,5624,15389,83866,104529,638,101200,3589,103818,101983,2786,98658,338,94280,103266,97852,81513,68183,50230,58243,87532,42531
"02007",2,7,488709,249503,239206,27936,14216,13720,455372,232527,222845,435082,222146,212936,364951,186248,178703,336460,171632,164828,308623,157439,151184,30200,15527,14673,60221,30752,29469,69121,35449,33672,28491,14616,13875,27837,14193,13644,61380,31281,30099,133450,28109,13634,14475,1.04,146848,318431,18029,2.14,292981,151128,141853,173513,86669,86844,403461,205037,198424,20369,10368,10001,3761,2088,1673,30,10,20,2873,1605,1268,3701,30,2848,8134,16040,8918,4130,1412,1235,839,856,1671,456911,15149,7806,7343,1372,749,623,1432,817,615,20080,10159,9921,16155,8156,7999,1292,781,511,7043,3195,3848,11536,5619,5917,30934,16703,14231,43028,21252,21776,29754,17162,12592,85336,42377,42959,121857,61974,59883,8.3,9.03,9.23,209467,133715,75752,146479,44717,101762,199303,125816,73487,10164,7899,2265,113301,361614,220718,22216,18183,89809,123558,202358,37854,340676,80480,419,52888,131955,98244,33711,474871,363656,111215,179096,133721,177330,131955,133664,35969,9406,474871,3.55,1.01,126342,3753,44483,85826,5615,22035,102495,128456,1977,123577,6500,128700,124357,5601,119468,734,106548,126900,123057,109005,94876,54723,60270,111875,43053
"02008",2,8,516849,259840,257009,32044,16316,15728,478042,240127,237915,455161,228490,226671,379604,190144,189460,349619,174924,174695,320852,160425,160427,33843,17225,16618,64595,32758,31837,73178,37105,36073,29985,15220,14765,28767,14499,14268,67668,33234,34434,146344,24545,11831,12714,1.01,160467,334449,15170,2.09,233605,118160,115445,257741,128387,129354,411147,205306,205841,31588,15470,16118,4366,2367,1999,15,4,11,3357,1806,1551,4340,15,3350,10584,16584,8350,4976,1542,1119,874,886,1668,489643,19587,9981,9606,2242,1216,1026,2132,1190,942,19678,9869,9809,14866,7430,7436,1576,935,641,8022,3529,4493,12630,5963,6667,33273,16262,17011,60947,29415,31532,29175,15512,13663,90511,44785,45726,109777,56852,52925,7.75,8.16,8,230113,146115,83998,147222,42702,104520,217752,136355,81397,12361,9760,2601,157846,350439,249590,13024,6230,67526,126662,213688,37546,369506,79858,610,54607,137166,102747,34419,508848,388832,120016,197229,139160,195235,137166,139090,47398,10671,508848,3.66,1.06,128299,6437,49447,85607,8455,27569,98864,133703,1499,126024,8800,133694,130557,4258,122760,516,114914,131946,124411,102807,81637,50980,52555,115223,38454
