CLAVEGEO,CVE_ENT,CVE_DISTRITO,CVE_MUN,CVE_SECCION,DESC_SECCION
100100200338,1,1,2,338,Sección 00338
100100200339,1,1,2,339,Sección 00339
100100200340,1,1,2,340,Sección 00340
100100200341,1,1,2,341,Sección 00341
100100200342,1,1,2,342,Sección 00342
100100200343,1,1,2,343,Sección 00343
100100200344,1,1,2,344,Sección 00344
100100200345,1,1,2,345,Sección 00345
100100200346,1,1,2,346,Sección 00346
100100200347,1,1,2,347,Sección 00347
100100200348,1,1,2,348,Sección 00348
100100200349,1,1,2,349,Sección 00349
100100200350,1,1,2,350,Sección 00350
100100200351,1,1,2,351,Sección 00351
100100200352,1,1,2,352,Sección 00352
100100200353,1,1,2,353,Sección 00353
100100200354,1,1,2,354,Sección 00354
100100300355,1,1,3,355,Sección 00355
100100300356,1,1,3,356,Sección 00356
100100300357,1,1,3,357,Sección 00357
100100300358,1,1,3,358,Sección 00358
100100300359,1,1,3,359,Sección 00359
100100300360,1,1,3,360,Sección 00360
100100300361,1,1,3,361,Sección 00361
100100300362,1,1,3,362,Sección 00362
100100300363,1,1,3,363,Sección 00363
100100300364,1,1,3,364,Sección 00364
100100300365,1,1,3,365,Sección 00365
100100300366,1,1,3,366,Sección 00366
100100300367,1,1,3,367,Sección 00367
100100300368,1,1,3,368,Sección 00368
100100300369,1,1,3,369,Sección 00369
100100300370,1,1,3,370,Sección 00370
100100300371,1,1,3,371,Sección 00371
100100300372,1,1,3,372,Sección 00372
100100300373,1,1,3,373,Sección 00373
100100300374,1,1,3,374,Sección 00374
100100300375,1,1,3,375,Sección 00375
100100300376,1,1,3,376,Sección 00376
100100300377,1,1,3,377,Sección 00377
100100300378,1,1,3,378,Sección 00378
100100300379,1,1,3,379,Sección 00379
100100300380,1,1,3,380,Sección 00380
100100300381,1,1,3,381,Sección 00381
100100300382,1,1,3,382,Sección 00382
100100300383,1,1,3,383,Sección 00383
100100300384,1,1,3,384,Sección 00384
100100300385,1,1,3,385,Sección 00385
100100300386,1,1,3,386,Sección 00386
100100400387,1,1,4,387,Sección 00387
100100400388,1,1,4,388,Sección 00388
100100400389,1,1,4,389,Sección 00389
100100400390,1,1,4,390,Sección 00390
100100400391,1,1,4,391,Sección 00391
100100500392,1,1,5,392,Sección 00392
100100500393,1,1,5,393,Sección 00393
100100500394,1,1,5,394,Sección 00394
100100500395,1,1,5,395,Sección 00395
100100500396,1,1,5,396,Sección 00396
100100500397,1,1,5,397,Sección 00397
100100500398,1,1,5,398,Sección 00398
100100500399,1,1,5,399,Sección 00399
100100500400,1,1,5,400,Sección 00400
100100500401,1,1,5,401,Sección 00401
100100500402,1,1,5,402,Sección 00402
100100500403,1,1,5,403,Sección 00403
100100500405,1,1,5,405,Sección 00405
100100500406,1,1,5,406,Sección 00406
100100500407,1,1,5,407,Sección 00407
100100500408,1,1,5,408,Sección 00408
100100500409,1,1,5,409,Sección 00409
100100500410,1,1,5,410,Sección 00410
100100500411,1,1,5,411,Sección 00411
100100500412,1,1,5,412,Sección 00412
100100500413,1,1,5,413,Sección 00413
100100500414,1,1,5,414,Sección 00414
100100600415,1,1,6,415,Sección 00415
100100600416,1,1,6,416,Sección 00416
100100600417,1,1,6,417,Sección 00417
100100600418,1,1,6,418,Sección 00418
100100600419,1,1,6,419,Sección 00419
100100600420,1,1,6,420,Sección 00420
100100600421,1,1,6,421,Sección 00421
100100600422,1,1,6,422,Sección 00422
100100600423,1,1,6,423,Sección 00423
100100600424,1,1,6,424,Sección 00424
100100600425,1,1,6,425,Sección 00425
100100600426,1,1,6,426,Sección 00426
100100600427,1,1,6,427,Sección 00427
100100600428,1,1,6,428,Sección 00428
100100600429,1,1,6,429,Sección 00429
100100600430,1,1,6,430,Sección 00430
100100600488,1,1,6,488,Sección 00488
100100700431,1,1,7,431,Sección 00431
100100700432,1,1,7,432,Sección 00432
100100700433,1,1,7,433,Sección 00433
100100700434,1,1,7,434,Sección 00434
100100700435,1,1,7,435,Sección 00435
100100700436,1,1,7,436,Sección 00436
100100700437,1,1,7,437,Sección 00437
100100700438,1,1,7,438,Sección 00438
100100700439,1,1,7,439,Sección 00439
100100700440,1,1,7,440,Sección 00440
100100700441,1,1,7,441,Sección 00441
100100700442,1,1,7,442,Sección 00442
100100700443,1,1,7,443,Sección 00443
100100700444,1,1,7,444,Sección 00444
100100700445,1,1,7,445,Sección 00445
100100700446,1,1,7,446,Sección 00446
100100700447,1,1,7,447,Sección 00447
100100700448,1,1,7,448,Sección 00448
100100700449,1,1,7,449,Sección 00449
100100700450,1,1,7,450,Sección 00450
100100700451,1,1,7,451,Sección 00451
100100800452,1,1,8,452,Sección 00452
100100800453,1,1,8,453,Sección 00453
100100800454,1,1,8,454,Sección 00454
100100800455,1,1,8,455,Sección 00455
100100800456,1,1,8,456,Sección 00456
100100800457,1,1,8,457,Sección 00457
100100800458,1,1,8,458,Sección 00458
100100800459,1,1,8,459,Sección 00459
100100900460,1,1,9,460,Sección 00460
100100900461,1,1,9,461,Sección 00461
100100900462,1,1,9,462,Sección 00462
100100900463,1,1,9,463,Sección 00463
100100900464,1,1,9,464,Sección 00464
100100900465,1,1,9,465,Sección 00465
100100900466,1,1,9,466,Sección 00466
100100900467,1,1,9,467,Sección 00467
100100900468,1,1,9,468,Sección 00468
100100900469,1,1,9,469,Sección 00469
100101000404,1,1,10,404,Sección 00404
100101000470,1,1,10,470,Sección 00470
100101000471,1,1,10,471,Sección 00471
100101000472,1,1,10,472,Sección 00472
100101000473,1,1,10,473,Sección 00473
100101000474,1,1,10,474,Sección 00474
100101000475,1,1,10,475,Sección 00475
100101000476,1,1,10,476,Sección 00476
100101000477,1,1,10,477,Sección 00477
100101000478,1,1,10,478,Sección 00478
100101100479,1,1,11,479,Sección 00479
100101100480,1,1,11,480,Sección 00480
100101100481,1,1,11,481,Sección 00481
100101100482,1,1,11,482,Sección 00482
100101100483,1,1,11,483,Sección 00483
100101100484,1,1,11,484,Sección 00484
100101100485,1,1,11,485,Sección 00485
100101100486,1,1,11,486,Sección 00486
100200100042,1,2,1,42,Sección 00042
100200100043,1,2,1,43,Sección 00043
100200100057,1,2,1,57,Sección 00057
100200100058,1,2,1,58,Sección 00058
100200100063,1,2,1,63,Sección 00063
100200100064,1,2,1,64,Sección 00064
100200100065,1,2,1,65,Sección 00065
100200100066,1,2,1,66,Sección 00066
100200100067,1,2,1,67,Sección 00067
100200100068,1,2,1,68,Sección 00068
100200100069,1,2,1,69,Sección 00069
100200100070,1,2,1,70,Sección 00070
100200100071,1,2,1,71,Sección 00071
100200100072,1,2,1,72,Sección 00072
100200100073,1,2,1,73,Sección 00073
100200100074,1,2,1,74,Sección 00074
100200100075,1,2,1,75,Sección 00075
100200100076,1,2,1,76,Sección 00076
100200100077,1,2,1,77,Sección 00077
100200100078,1,2,1,78,Sección 00078
100200100079,1,2,1,79,Sección 00079
100200100080,1,2,1,80,Sección 00080
100200100081,1,2,1,81,Sección 00081
100200100082,1,2,1,82,Sección 00082
100200100083,1,2,1,83,Sección 00083
100200100084,1,2,1,84,Sección 00084
100200100085,1,2,1,85,Sección 00085
100200100086,1,2,1,86,Sección 00086
100200100087,1,2,1,87,Sección 00087
100200100088,1,2,1,88,Sección 00088
100200100089,1,2,1,89,Sección 00089
100200100090,1,2,1,90,Sección 00090
100200100091,1,2,1,91,Sección 00091
100200100092,1,2,1,92,Sección 00092
100200100093,1,2,1,93,Sección 00093
100200100094,1,2,1,94,Sección 00094
100200100095,1,2,1,95,Sección 00095
100200100096,1,2,1,96,Sección 00096
100200100097,1,2,1,97,Sección 00097
100200100099,1,2,1,99,Sección 00099
100200100100,1,2,1,100,Sección 00100
100200100101,1,2,1,101,Sección 00101
100200100102,1,2,1,102,Sección 00102
100200100103,1,2,1,103,Sección 00103
100200100104,1,2,1,104,Sección 00104
100200100105,1,2,1,105,Sección 00105
100200100106,1,2,1,106,Sección 00106
100200100107,1,2,1,107,Sección 00107
