CLAVEGEO,CVE_ENT,CVE_DISTRITO,CVE_MUN,CVE_SECCION,DESC_SECCION
400100100001,4,1,1,1,Sección 00001
400100100002,4,1,1,2,Sección 00002
400100100003,4,1,1,3,Sección 00003
400100100004,4,1,1,4,Sección 00004
400100100005,4,1,1,5,Sección 00005
400100100006,4,1,1,6,Sección 00006
400100100007,4,1,1,7,Sección 00007
400100100008,4,1,1,8,Sección 00008
400100100009,4,1,1,9,Sección 00009
400100100010,4,1,1,10,Sección 00010
400100100011,4,1,1,11,Sección 00011
400100100012,4,1,1,12,Sección 00012
400100100013,4,1,1,13,Sección 00013
400100100014,4,1,1,14,Sección 00014
400100100015,4,1,1,15,Sección 00015
400100100016,4,1,1,16,Sección 00016
400100100017,4,1,1,17,Sección 00017
400100100018,4,1,1,18,Sección 00018
400100100019,4,1,1,19,Sección 00019
400100100020,4,1,1,20,Sección 00020
400100100021,4,1,1,21,Sección 00021
400100100022,4,1,1,22,Sección 00022
400100100023,4,1,1,23,Sección 00023
400100100024,4,1,1,24,Sección 00024
400100100025,4,1,1,25,Sección 00025
400100100026,4,1,1,26,Sección 00026
400100100027,4,1,1,27,Sección 00027
400100100028,4,1,1,28,Sección 00028
400100100029,4,1,1,29,Sección 00029
400100100030,4,1,1,30,Sección 00030
400100100031,4,1,1,31,Sección 00031
400100100032,4,1,1,32,Sección 00032
400100100033,4,1,1,33,Sección 00033
400100100034,4,1,1,34,Sección 00034
400100100035,4,1,1,35,Sección 00035
400100100036,4,1,1,36,Sección 00036
400100100037,4,1,1,37,Sección 00037
400100100038,4,1,1,38,Sección 00038
400100100039,4,1,1,39,Sección 00039
400100100040,4,1,1,40,Sección 00040
400100100041,4,1,1,41,Sección 00041
400100100042,4,1,1,42,Sección 00042
400100100043,4,1,1,43,Sección 00043
400100100044,4,1,1,44,Sección 00044
400100100045,4,1,1,45,Sección 00045
400100100046,4,1,1,46,Sección 00046
400100100047,4,1,1,47,Sección 00047
400100100048,4,1,1,48,Sección 00048
400100100049,4,1,1,49,Sección 00049
400100100050,4,1,1,50,Sección 00050
400100100051,4,1,1,51,Sección 00051
400100100052,4,1,1,52,Sección 00052
400100100053,4,1,1,53,Sección 00053
400100100054,4,1,1,54,Sección 00054
400100100055,4,1,1,55,Sección 00055
400100100056,4,1,1,56,Sección 00056
400100100057,4,1,1,57,Sección 00057
400100100058,4,1,1,58,Sección 00058
400100100059,4,1,1,59,Sección 00059
400100100060,4,1,1,60,Sección 00060
400100100061,4,1,1,61,Sección 00061
400100100062,4,1,1,62,Sección 00062
400100100063,4,1,1,63,Sección 00063
400100100064,4,1,1,64,Sección 00064
400100100065,4,1,1,65,Sección 00065
400100100066,4,1,1,66,Sección 00066
400100100067,4,1,1,67,Sección 00067
400100100068,4,1,1,68,Sección 00068
400100100069,4,1,1,69,Sección 00069
400100100070,4,1,1,70,Sección 00070
400100100071,4,1,1,71,Sección 00071
400100100072,4,1,1,72,Sección 00072
400100100073,4,1,1,73,Sección 00073
400100100074,4,1,1,74,Sección 00074
400100100075,4,1,1,75,Sección 00075
400100100076,4,1,1,76,Sección 00076
400100100077,4,1,1,77,Sección 00077
400100100078,4,1,1,78,Sección 00078
400100100079,4,1,1,79,Sección 00079
400100100080,4,1,1,80,Sección 00080
400100100081,4,1,1,81,Sección 00081
400100100082,4,1,1,82,Sección 00082
400100100083,4,1,1,83,Sección 00083
400100100084,4,1,1,84,Sección 00084
400100100085,4,1,1,85,Sección 00085
400100100086,4,1,1,86,Sección 00086
400100100087,4,1,1,87,Sección 00087
400100100088,4,1,1,88,Sección 00088
400100100089,4,1,1,89,Sección 00089
400100100090,4,1,1,90,Sección 00090
400100100091,4,1,1,91,Sección 00091
400100100092,4,1,1,92,Sección 00092
400100100093,4,1,1,93,Sección 00093
400100100094,4,1,1,94,Sección 00094
400100100095,4,1,1,95,Sección 00095
400100100096,4,1,1,96,Sección 00096
400100100097,4,1,1,97,Sección 00097
400100100098,4,1,1,98,Sección 00098
400100100099,4,1,1,99,Sección 00099
400100100100,4,1,1,100,Sección 00100
400100100101,4,1,1,101,Sección 00101
400100100102,4,1,1,102,Sección 00102
400100100103,4,1,1,103,Sección 00103
400100100104,4,1,1,104,Sección 00104
400100100105,4,1,1,105,Sección 00105
400100100106,4,1,1,106,Sección 00106
400100100107,4,1,1,107,Sección 00107
400100100108,4,1,1,108,Sección 00108
400100100109,4,1,1,109,Sección 00109
400100100110,4,1,1,110,Sección 00110
400100100111,4,1,1,111,Sección 00111
400100100112,4,1,1,112,Sección 00112
400100100113,4,1,1,113,Sección 00113
400100100114,4,1,1,114,Sección 00114
400100100115,4,1,1,115,Sección 00115
400100100116,4,1,1,116,Sección 00116
400100100117,4,1,1,117,Sección 00117
400100100118,4,1,1,118,Sección 00118
400100100119,4,1,1,119,Sección 00119
400100100120,4,1,1,120,Sección 00120
400100100121,4,1,1,121,Sección 00121
400100100122,4,1,1,122,Sección 00122
400100100123,4,1,1,123,Sección 00123
400100100124,4,1,1,124,Sección 00124
400100100125,4,1,1,125,Sección 00125
400100100126,4,1,1,126,Sección 00126
400100100127,4,1,1,127,Sección 00127
400100100128,4,1,1,128,Sección 00128
400100100129,4,1,1,129,Sección 00129
400100100130,4,1,1,130,Sección 00130
400100100131,4,1,1,131,Sección 00131
400100100132,4,1,1,132,Sección 00132
400100100133,4,1,1,133,Sección 00133
400100100134,4,1,1,134,Sección 00134
400100100135,4,1,1,135,Sección 00135
400100100136,4,1,1,136,Sección 00136
400100100137,4,1,1,137,Sección 00137
400100100138,4,1,1,138,Sección 00138
400100100139,4,1,1,139,Sección 00139
400100100140,4,1,1,140,Sección 00140
400100100141,4,1,1,141,Sección 00141
400100100142,4,1,1,142,Sección 00142
400100100143,4,1,1,143,Sección 00143
400100100144,4,1,1,144,Sección 00144
400100100145,4,1,1,145,Sección 00145
400100100146,4,1,1,146,Sección 00146
400100200147,4,1,2,147,Sección 00147
400100200148,4,1,2,148,Sección 00148
400100200149,4,1,2,149,Sección 00149
400100200150,4,1,2,150,Sección 00150
400100200151,4,1,2,151,Sección 00151
400100200152,4,1,2,152,Sección 00152
400100200153,4,1,2,153,Sección 00153
400100200154,4,1,2,154,Sección 00154
400100200155,4,1,2,155,Sección 00155
400100200156,4,1,2,156,Sección 00156
400100200157,4,1,2,157,Sección 00157
400100200158,4,1,2,158,Sección 00158
400100200159,4,1,2,159,Sección 00159
400100200160,4,1,2,160,Sección 00160
400100200161,4,1,2,161,Sección 00161
400100200162,4,1,2,162,Sección 00162
400100200163,4,1,2,163,Sección 00163
400100200164,4,1,2,164,Sección 00164
400100200165,4,1,2,165,Sección 00165
