CLAVEGEO,CVE_ENT,CVE_DISTRITO,CVE_MUN,CVE_SECCION,DESC_SECCION
200100200319,2,1,2,319,Sección 00319
200100200320,2,1,2,320,Sección 00320
200100200321,2,1,2,321,Sección 00321
200100200338,2,1,2,338,Sección 00338
200100200339,2,1,2,339,Sección 00339
200100200340,2,1,2,340,Sección 00340
200100200341,2,1,2,341,Sección 00341
200100200342,2,1,2,342,Sección 00342
200100200358,2,1,2,358,Sección 00358
200100200359,2,1,2,359,Sección 00359
200100200360,2,1,2,360,Sección 00360
200100200361,2,1,2,361,Sección 00361
200100200362,2,1,2,362,Sección 00362
200100200363,2,1,2,363,Sección 00363
200100200364,2,1,2,364,Sección 00364
200100200365,2,1,2,365,Sección 00365
200100200366,2,1,2,366,Sección 00366
200100200367,2,1,2,367,Sección 00367
200100200368,2,1,2,368,Sección 00368
200100200451,2,1,2,451,Sección 00451
200100200459,2,1,2,459,Sección 00459
200100200463,2,1,2,463,Sección 00463
200100200464,2,1,2,464,Sección 00464
200100200465,2,1,2,465,Sección 00465
200100200466,2,1,2,466,Sección 00466
200100200467,2,1,2,467,Sección 00467
200100200468,2,1,2,468,Sección 00468
200100200471,2,1,2,471,Sección 00471
200100200472,2,1,2,472,Sección 00472
200100200473,2,1,2,473,Sección 00473
200100200474,2,1,2,474,Sección 00474
200100200475,2,1,2,475,Sección 00475
200100200476,2,1,2,476,Sección 00476
200100200477,2,1,2,477,Sección 00477
200100200478,2,1,2,478,Sección 00478
200100200479,2,1,2,479,Sección 00479
200100200480,2,1,2,480,Sección 00480
200100200481,2,1,2,481,Sección 00481
200100200482,2,1,2,482,Sección 00482
200100200483,2,1,2,483,Sección 00483
200100200484,2,1,2,484,Sección 00484
200100200485,2,1,2,485,Sección 00485
200100200486,2,1,2,486,Sección 00486
200100200487,2,1,2,487,Sección 00487
200100200488,2,1,2,488,Sección 00488
200100200489,2,1,2,489,Sección 00489
200100200490,2,1,2,490,Sección 00490
200100200491,2,1,2,491,Sección 00491
200100200492,2,1,2,492,Sección 00492
200100200493,2,1,2,493,Sección 00493
200100200494,2,1,2,494,Sección 00494
200100200495,2,1,2,495,Sección 00495
200100200496,2,1,2,496,Sección 00496
200100200497,2,1,2,497,Sección 00497
200100200498,2,1,2,498,Sección 00498
200100200499,2,1,2,499,Sección 00499
200100200500,2,1,2,500,Sección 00500
200100200501,2,1,2,501,Sección 00501
200100200502,2,1,2,502,Sección 00502
200100200503,2,1,2,503,Sección 00503
200100200504,2,1,2,504,Sección 00504
200100200505,2,1,2,505,Sección 00505
200100200506,2,1,2,506,Sección 00506
200100200507,2,1,2,507,Sección 00507
200100200508,2,1,2,508,Sección 00508
200100200509,2,1,2,509,Sección 00509
200100200510,2,1,2,510,Sección 00510
200100200511,2,1,2,511,Sección 00511
