CLAVEGEO,CVE_ENT,DESC_ENT,CVE_DISTRITO,DESC_DISTRITO
2001,2,Baja California,1,Distrito 001
2002,2,Baja California,2,Distrito 002
2003,2,Baja California,3,Distrito 003
2004,2,Baja California,4,Distrito 004
2005,2,Baja California,5,Distrito 005
2006,2,Baja California,6,Distrito 006
2007,2,Baja California,7,Distrito 007
2008,2,Baja California,8,Distrito 008
