@relation ENS_AGEBS_20

@attribute index numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric
@attribute P_0A5 numeric

@data
2280,Ensenada,1486,1,95,0,7.992,2.548,41,1.662,3.504,25,102,16
2286,Ensenada,1490,1,46,4,9.92,1.86,13,0.96,3.54,7,24,4
2288,Ensenada,1503,1,122,0,12.535,1.4675,54,0.8175,2.6225,27,52,7
2293,Ensenada,1518,1,57,3,10.41,1.54,20,1.04,3.35,9,23,3
2295,Ensenada,1522,1,149,13,8.91,2.226,41,1.374,4.422,39,56,25
2301,Ensenada,1537,1,704,41,12.82125,1.61375,248,0.89625,3.13375,176,250,88
2310,Ensenada,1541,1,33,0,10.065,1.04,15,0.9,2.2425,0,112,0
2315,Ensenada,1556,1,541,8,9.168387,1.431613,215,0.972903,3.002581,96,259,55
2347,Ensenada,1560,1,245,0,12.3575,1.46,88,0.9775,3.1625,55,92,33
2352,Ensenada,1575,1,169,10,7.14125,1.88875,61,1.23125,3.0025,26,117,39
2393,Ensenada,1594,1,160,0,9.154286,2.02,60,1.1,3.475714,22,78,3
2401,Ensenada,1607,1,242,12,8.241818,1.725455,80,0.964545,2.865455,39,110,14
2413,Ensenada,1611,1,36,0,10.63,2.2,11,0.95,4.5,0,20,0
2415,Ensenada,1626,1,8,3,7.125,0.5,32,0.22,1,4,20,0
2418,Ensenada,1876,1,3,0,0,0,1,0,0,0,0,0
2420,Ensenada,1880,1,0,0,0,0,0,0,0,0,0,0
2422,Ensenada,1895,1,0,0,0,0,0,0,0,0,0,0
2424,Ensenada,1908,1,122,5,8.66,2.53,36,1.05,3.7,10,27,12
2426,Ensenada,2060,1,261,5,10.7975,1.0725,104,0.615,2.18,78,69,28
2431,Ensenada,2075,1,2667,11,9.316102,1.494237,908,0.877627,2.825763,458,999,388
