index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,PNACOE
4,Ensenada,1,Ensenada,0435,1,48,*,3,4,8.31,2.50,15,1.02,3.43,7,16
5,Ensenada,1,Ensenada,0435,3,41,*,0,6,9.48,2.40,16,0.85,3.15,4,16
6,Ensenada,1,Ensenada,0435,4,41,3,*,4,10.29,1.88,11,0.87,4.10,7,16
7,Ensenada,1,Ensenada,0435,6,54,*,*,*,10.24,1.82,23,0.72,3.18,10,17
8,Ensenada,1,Ensenada,0435,7,54,3,3,7,9.85,2.33,17,0.78,3.38,7,18
9,Ensenada,1,Ensenada,0435,8,25,*,*,*,8.90,2.33,10,0.81,2.78,*,10
10,Ensenada,1,Ensenada,0435,9,39,*,0,*,10.79,1.90,16,0.76,3,9,13
11,Ensenada,1,Ensenada,0435,10,17,0,3,*,9,4,7,0.63,2.83,*,5
12,Ensenada,1,Ensenada,0435,11,51,0,*,3,8.84,2.04,16,0.91,3.43,7,18
13,Ensenada,1,Ensenada,0435,12,69,*,4,8,9.67,2.83,19,0.81,4.06,7,19
14,Ensenada,1,Ensenada,0435,13,47,3,*,7,9.94,1.61,19,0.94,2.75,9,11
15,Ensenada,1,Ensenada,0435,14,23,*,*,3,10.29,1.67,9,0.92,2.88,4,6
16,Ensenada,1,Ensenada,0435,15,52,*,0,8,10.26,1.50,19,0.88,3.47,6,13
17,Ensenada,1,Ensenada,0435,16,59,*,*,6,10.66,2.11,21,0.88,3.28,10,20
18,Ensenada,1,Ensenada,0435,17,67,4,5,6,9.46,2.04,31,0.82,3.05,6,34
19,Ensenada,1,Ensenada,0435,18,49,*,*,11,7.44,2.19,28,0.69,2.13,5,32
20,Ensenada,1,Ensenada,0435,19,95,5,3,4,9.23,2.05,31,1.02,3.52,9,35
21,Ensenada,1,Ensenada,0435,20,66,3,*,4,8.63,1.96,25,0.97,3.30,6,29
22,Ensenada,1,Ensenada,0435,21,31,*,0,*,10.86,1.75,8,1.11,3.88,5,5
23,Ensenada,1,Ensenada,0435,24,23,0,0,3,10.37,2.38,7,0.72,3.83,4,7
24,Ensenada,1,Ensenada,0435,25,97,4,4,9,9.14,2.35,30,0.81,3.34,14,28
25,Ensenada,1,Ensenada,0435,26,96,*,4,16,7.85,2.88,33,0.83,3.20,14,38
26,Ensenada,1,Ensenada,0435,27,25,*,*,*,10.76,2.20,16,0.57,3.13,6,6
27,Ensenada,1,Ensenada,0435,28,70,3,3,3,8.04,2.48,27,0.84,3.18,4,23
28,Ensenada,1,Ensenada,0435,29,50,3,*,*,11.22,2.23,20,0.61,2.63,11,17
29,Ensenada,1,Ensenada,0435,30,34,3,*,3,8.33,2.31,11,1.06,4.25,5,15
30,Ensenada,1,Ensenada,0435,32,16,0,*,*,7,2.25,5,0.89,3.20,*,7
31,Ensenada,1,Ensenada,0435,33,133,4,*,8,8.84,2.70,41,0.91,3.50,11,45
32,Ensenada,1,Ensenada,0435,34,25,0,*,3,9.95,2.54,7,0.76,3.57,3,7
33,Ensenada,1,Ensenada,0435,35,82,0,3,7,9.40,1.74,29,0.91,3.73,13,38
34,Ensenada,1,Ensenada,0435,36,106,6,3,10,7.41,2.62,33,1.04,3.66,9,43
35,Ensenada,1,Ensenada,0435,38,64,*,*,10,8.33,2.12,27,0.76,2.78,4,29
36,Ensenada,1,Ensenada,0435,40,96,8,3,4,8.63,2.05,34,1.04,3.43,10,48
37,Ensenada,1,Ensenada,0435,43,71,3,*,10,7.68,2.68,30,0.82,3.23,6,16
38,Ensenada,1,Ensenada,0435,44,68,*,3,6,7.89,2.58,25,0.96,3.24,3,22
39,Ensenada,1,Ensenada,0435,46,48,3,*,4,7.81,2.45,22,0.76,3,4,16
40,Ensenada,1,Ensenada,0435,50,25,*,*,3,7.59,2,8,0.74,3.13,3,10
41,Ensenada,1,Ensenada,0435,51,59,*,3,*,7.84,1.97,17,1.11,3.47,8,23
42,Ensenada,1,Ensenada,0435,52,73,5,*,6,9.20,2.65,25,0.89,3.65,8,25
43,Ensenada,1,Ensenada,0435,55,57,3,0,6,7.53,3.15,20,0.88,3,4,24
44,Ensenada,1,Ensenada,0435,56,60,3,3,6,8.95,2.22,20,0.76,3.53,9,16
45,Ensenada,1,Ensenada,0435,57,13,0,0,0,9,3.33,3,1.08,4.33,*,5
46,Ensenada,1,Ensenada,0435,58,40,3,*,0,8.57,2.07,14,1,3.64,*,10
47,Ensenada,1,Ensenada,0435,59,119,3,3,*,12.84,1.30,34,0.85,3.72,26,42
48,Ensenada,1,Ensenada,0435,61,48,*,*,*,8.83,2.23,25,0.79,2.82,5,18
49,Ensenada,1,Ensenada,0435,62,5,*,*,*,*,*,1,*,*,*,*
50,Ensenada,1,Ensenada,0435,63,15,*,*,0,13.91,1.33,6,0.79,3.75,4,7
51,Ensenada,1,Ensenada,0435,64,52,*,*,3,11.93,1.23,19,0.69,3.25,13,15
52,Ensenada,1,Ensenada,0435,66,39,*,*,*,13.50,1.64,13,0.68,3.55,11,7
