ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,PNACOE,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_PC
02,Baja California,001,Ensenada,0001,Ensenada,0083,026,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0083,027,52,0,*,4,12.13,1.53,9,25,2.26,0.73,9
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0098,000,2236,133,141,38,9.69,1.78,851,837,2.92,1.29,211
02,Baja California,001,Ensenada,0001,Ensenada,0098,001,140,9,8,*,9.73,1.69,62,44,3.41,1.47,18
02,Baja California,001,Ensenada,0001,Ensenada,0098,002,142,11,10,*,9.64,1.81,50,52,2.96,1.41,7
02,Baja California,001,Ensenada,0001,Ensenada,0098,003,198,13,12,*,10.10,1.71,80,78,2.96,1.30,25
02,Baja California,001,Ensenada,0001,Ensenada,0098,004,89,5,7,3,9.52,1.78,32,36,2.78,1.35,8
02,Baja California,001,Ensenada,0001,Ensenada,0098,005,99,11,6,*,9.16,1.65,38,35,3,1.46,7
02,Baja California,001,Ensenada,0001,Ensenada,0098,006,131,*,5,*,9.88,1.60,46,57,2.43,1.22,5
02,Baja California,001,Ensenada,0001,Ensenada,0098,007,89,7,7,*,9.75,1.81,28,38,2.47,1.13,7
02,Baja California,001,Ensenada,0001,Ensenada,0098,008,9,0,0,0,11.57,1.25,4,4,3,1.29,*
02,Baja California,001,Ensenada,0001,Ensenada,0098,009,17,*,*,0,9.67,2,14,4,4.25,1.70,*
02,Baja California,001,Ensenada,0001,Ensenada,0098,010,98,4,5,4,9.87,2.27,45,42,2.88,1.17,10
02,Baja California,001,Ensenada,0001,Ensenada,0098,011,85,6,7,*,9.82,1.62,33,30,3.04,1.10,6
02,Baja California,001,Ensenada,0001,Ensenada,0098,012,14,*,0,0,10.67,1.29,7,7,2.33,0.78,*
02,Baja California,001,Ensenada,0001,Ensenada,0098,013,16,*,0,0,8.75,1.57,6,7,2.29,0.94,*
02,Baja California,001,Ensenada,0001,Ensenada,0098,014,65,*,4,3,9.27,1.63,28,26,2.83,1.38,3
02,Baja California,001,Ensenada,0001,Ensenada,0098,015,52,4,6,0,10.37,1.50,20,25,2.26,1.06,10
02,Baja California,001,Ensenada,0001,Ensenada,0098,016,128,9,11,3,9.24,2,42,44,3.12,1.36,14
02,Baja California,001,Ensenada,0001,Ensenada,0098,017,10,*,0,*,9.75,1,5,4,2.50,0.83,*
02,Baja California,001,Ensenada,0001,Ensenada,0098,018,95,*,0,3,10.08,1.64,41,29,3.39,1.09,10
02,Baja California,001,Ensenada,0001,Ensenada,0098,019,104,5,8,*,10.06,1.79,44,35,3.35,1.09,18
02,Baja California,001,Ensenada,0001,Ensenada,0098,020,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0098,021,115,6,6,3,9.42,1.91,42,49,2.56,1.24,10
02,Baja California,001,Ensenada,0001,Ensenada,0098,022,291,21,21,4,10.13,1.88,93,104,3.03,1.40,22
02,Baja California,001,Ensenada,0001,Ensenada,0098,023,116,4,6,*,8.67,1.84,47,46,2.70,1.27,11
02,Baja California,001,Ensenada,0001,Ensenada,0098,024,12,*,0,*,9.44,1.25,3,5,2.40,1.09,*
02,Baja California,001,Ensenada,0001,Ensenada,0098,025,121,5,11,*,8.92,1.85,41,36,3.56,1.68,9
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0100,000,3717,223,287,66,9.97,1.82,1396,1229,3.29,1.31,408
02,Baja California,001,Ensenada,0001,Ensenada,0100,001,106,6,7,0,10.43,1.74,19,32,3.42,0.99,14
02,Baja California,001,Ensenada,0001,Ensenada,0100,002,149,11,6,3,9.56,1.45,50,49,3.24,1.46,9
02,Baja California,001,Ensenada,0001,Ensenada,0100,003,83,6,6,0,11.87,1.63,32,28,3.32,1.22,11
02,Baja California,001,Ensenada,0001,Ensenada,0100,004,107,6,6,4,10.01,1.87,42,32,3.34,1.10,11
02,Baja California,001,Ensenada,0001,Ensenada,0100,005,96,3,7,0,11.22,1.66,29,30,3.69,1.16,11
02,Baja California,001,Ensenada,0001,Ensenada,0100,006,105,3,12,*,11.12,1.78,31,33,3.28,1.19,11
02,Baja California,001,Ensenada,0001,Ensenada,0100,007,196,9,18,3,9.57,2.11,70,66,3.27,1.72,19
02,Baja California,001,Ensenada,0001,Ensenada,0100,008,125,5,4,*,9.38,1.59,53,46,2.84,1.87,11
02,Baja California,001,Ensenada,0001,Ensenada,0100,009,39,0,3,*,8.70,2.55,25,14,3.25,1.63,5
02,Baja California,001,Ensenada,0001,Ensenada,0100,010,148,16,7,3,9.69,1.53,70,47,3.29,1.41,16
02,Baja California,001,Ensenada,0001,Ensenada,0100,011,65,4,5,*,10.93,1.76,18,28,3.10,0.87,11
02,Baja California,001,Ensenada,0001,Ensenada,0100,012,72,*,3,*,10.98,1.85,28,28,3,1.04,9
02,Baja California,001,Ensenada,0001,Ensenada,0100,013,293,18,20,3,11.97,1.45,82,93,3.45,0.94,52
02,Baja California,001,Ensenada,0001,Ensenada,0100,014,59,4,5,0,10.93,1.18,15,19,3.28,0.98,10
02,Baja California,001,Ensenada,0001,Ensenada,0100,015,185,19,11,4,9.40,1.91,77,64,3.08,1.85,21
02,Baja California,001,Ensenada,0001,Ensenada,0100,016,183,16,20,4,9.54,1.80,81,64,3.10,1.83,19
02,Baja California,001,Ensenada,0001,Ensenada,0100,017,119,9,8,*,9.20,1.64,61,44,2.90,1.34,11
02,Baja California,001,Ensenada,0001,Ensenada,0100,018,79,6,12,3,12.04,1.57,24,26,3.16,0.93,13
02,Baja California,001,Ensenada,0001,Ensenada,0100,019,92,4,10,*,11.37,2.14,25,28,3.41,1.11,16
02,Baja California,001,Ensenada,0001,Ensenada,0100,020,87,4,9,*,11.38,1.63,35,29,3.35,0.98,14
02,Baja California,001,Ensenada,0001,Ensenada,0100,021,94,7,12,4,10.59,2.32,32,28,3.62,1.27,8
02,Baja California,001,Ensenada,0001,Ensenada,0100,022,170,13,15,3,9.42,1.87,67,59,3.04,1.34,19
02,Baja California,001,Ensenada,0001,Ensenada,0100,023,189,11,15,*,9.25,2.12,84,58,3.38,2.03,14
02,Baja California,001,Ensenada,0001,Ensenada,0100,024,106,7,12,*,9.28,2.08,47,36,3.03,1.56,10
02,Baja California,001,Ensenada,0001,Ensenada,0100,025,166,12,11,*,9.44,1.95,65,54,3.25,1.39,18
02,Baja California,001,Ensenada,0001,Ensenada,0100,026,124,10,11,4,9.42,2.21,43,41,3.35,1.53,11
02,Baja California,001,Ensenada,0001,Ensenada,0100,027,98,*,6,*,9.33,1.36,30,27,3.92,1.72,7
02,Baja California,001,Ensenada,0001,Ensenada,0100,028,14,0,0,0,8.82,1.80,8,7,2.80,1.17,0
02,Baja California,001,Ensenada,0001,Ensenada,0100,029,26,0,*,*,9.05,1.64,12,8,3.71,1.30,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,030,36,*,0,5,6.89,2.58,23,12,3.60,1.06,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,031,24,0,*,0,8.41,1.44,6,8,4,1.50,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,032,34,*,3,0,9.64,1.73,13,11,3.78,1.10,5
02,Baja California,001,Ensenada,0001,Ensenada,0100,033,31,*,7,*,8.65,2,12,7,4.43,1.82,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,034,26,*,0,0,8.70,2.40,8,8,3.25,0.96,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,035,29,*,3,0,9.39,1.80,14,8,4.14,1.21,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,036,12,0,0,0,6.67,1.75,11,3,4,2,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,037,8,0,0,0,12.88,1.50,*,4,2.67,1.14,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,038,7,*,*,*,*,*,*,4,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,039,26,*,*,*,6.93,4.20,12,9,3.71,1.53,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,040,19,*,0,0,8.50,2.29,8,8,2.71,1.55,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,041,25,0,*,0,9.37,1.50,8,6,4.17,1,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,042,16,*,*,0,9.56,2.60,6,5,4,1.33,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,043,4,*,*,*,*,*,*,1,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,044,5,*,*,*,*,*,*,1,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,045,18,0,3,*,7.36,4,9,5,4.50,1.20,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,046,10,*,*,*,11.57,4.25,4,3,3.33,1.11,*
02,Baja California,001,Ensenada,0001,Ensenada,0100,047,12,*,*,0,6.13,1.75,*,7,3,1.20,0
02,Baja California,001,Ensenada,0001,Ensenada,0100,048,0,0,0,0,0,0,0,1,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0100,800,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0115,000,2560,165,162,54,9.26,2.03,1083,896,3.43,1.36,226
02,Baja California,001,Ensenada,0001,Ensenada,0115,001,73,4,5,*,10.48,1.63,28,23,3.48,1.49,8
02,Baja California,001,Ensenada,0001,Ensenada,0115,002,72,3,7,0,9.44,2.14,29,23,3.79,1.44,11
02,Baja California,001,Ensenada,0001,Ensenada,0115,003,73,8,6,*,8.78,2.54,19,23,3.65,1.28,8
02,Baja California,001,Ensenada,0001,Ensenada,0115,004,61,*,3,9,7.93,2.17,25,21,3.39,1.20,4
02,Baja California,001,Ensenada,0001,Ensenada,0115,005,69,4,7,*,9.86,2.74,29,22,3.83,1.17,5
02,Baja California,001,Ensenada,0001,Ensenada,0115,006,72,6,6,0,10.18,1.63,33,21,4,1.50,5
02,Baja California,001,Ensenada,0001,Ensenada,0115,007,60,3,*,0,9.28,1.81,29,20,3.33,1.02,3
02,Baja California,001,Ensenada,0001,Ensenada,0115,008,79,0,5,*,10,1.67,37,28,3.43,1.16,14
02,Baja California,001,Ensenada,0001,Ensenada,0115,009,50,*,*,*,10,2,18,23,2.94,1.04,8
02,Baja California,001,Ensenada,0001,Ensenada,0115,010,64,4,*,*,9.20,2.04,23,23,3.56,1.52,5
02,Baja California,001,Ensenada,0001,Ensenada,0115,011,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0115,012,84,5,3,*,9.71,1.67,33,27,3.65,1.27,11
02,Baja California,001,Ensenada,0001,Ensenada,0115,013,93,3,*,3,8.81,1.95,36,24,3.88,1.27,8
02,Baja California,001,Ensenada,0001,Ensenada,0115,014,73,4,3,*,9.49,1.61,31,23,3.84,1.40,5
02,Baja California,001,Ensenada,0001,Ensenada,0115,015,69,3,4,3,9.38,2.03,29,21,3.83,1.23,8
02,Baja California,001,Ensenada,0001,Ensenada,0115,016,0,0,0,0,0,0,0,1,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0115,017,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0115,018,63,3,0,*,8.52,2.13,28,25,3.15,1.24,4
02,Baja California,001,Ensenada,0001,Ensenada,0115,019,61,6,*,*,9.65,2.58,31,24,3.59,1.36,9
02,Baja California,001,Ensenada,0001,Ensenada,0115,020,95,7,11,*,9.59,2.09,40,31,3.28,1.19,11
02,Baja California,001,Ensenada,0001,Ensenada,0115,021,34,3,*,*,9.57,2.07,17,11,4.25,1.31,4
02,Baja California,001,Ensenada,0001,Ensenada,0115,022,1,*,*,*,*,*,*,3,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,023,39,*,*,0,10.31,1.61,21,14,3.25,1.30,4
02,Baja California,001,Ensenada,0001,Ensenada,0115,024,7,*,*,*,*,*,*,1,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,025,7,*,*,*,*,*,*,3,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,026,11,0,0,0,10.30,3.75,7,4,2.75,0.85,*
