@relation NORENS_AGEBS_10

@attribute AGEB string
@attribute P_TOTAL numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric
@attribute P_0A5 numeric

@data
0435,3632,325,9.617302,2.193333,1321,0.853016,3.35254,584,1241,419
044A,1539,224,9.569643,2.264286,549,0.750714,3.152143,254,478,135
0454,2211,188,10.994717,1.929057,742,0.661887,3.145849,438,760,118
0492,557,15,7.67,0.912826,281,0.372609,1.648261,189,271,39
0505,730,135,14.026154,1.999231,300,0.506154,2.862308,199,282,20
0524,3040,276,9.127049,2.500164,1083,0.816885,3.296066,497,1074,364
0543,1871,223,8.496364,2.461455,679,0.914182,3.327455,232,669,174
0558,2426,194,12.341053,1.795789,903,0.635789,3.039474,612,873,196
0562,1575,272,11.725385,1.908077,630,0.618846,2.908077,317,469,146
0577,1199,209,12.899714,1.506286,604,0.511143,2.523429,335,512,62
0581,1122,154,10.826667,1.911667,465,0.564583,2.687917,260,348,93
0628,1650,222,7.926809,1.253404,586,0.478085,2.286596,414,476,138
0647,2666,305,12.970227,1.756136,1028,0.531818,3.057955,673,998,146
1005,2987,4,11.066,1.5245,1228,0.8295,3.247,423,1286,483
101A,1370,0,10.290526,1.523158,565,1.105789,3.033684,209,594,330
1024,2102,27,10.365833,1.275833,1018,0.772778,2.780833,412,829,384
1255,1774,0,9.985238,1.450952,887,1.084762,2.9,189,814,312
6006,5443,225,8.844595,2.155405,1581,0.993784,3.735405,624,1987,548
6025,1327,74,13.704,1.341,542,0.56,2.8625,396,471,87
7451,1303,56,10.201,1.83,427,0.8055,3.28,193,444,129
7663,1248,34,9.2824,1.9244,396,1.0056,3.5452,184,458,163
7678,1719,59,8.436863,2.019804,556,1.228039,3.609412,183,754,253
7697,2196,138,6.204906,2.165283,708,0.899057,2.981698,199,951,324
770A,1183,61,11.335862,1.915172,373,0.734138,3.542759,242,405,91
7714,2879,172,8.219375,2.270313,905,0.869375,3.345625,329,1057,367
7729,2107,194,11.213226,1.875806,746,0.674839,3.268065,431,680,222
7733,1946,243,9.135152,1.987273,712,0.702727,2.910303,376,689,152
7748,1415,63,11.012222,1.666111,637,0.738056,3.012778,313,533,137
7752,2851,242,9.811143,1.994571,1038,0.786,3.172857,492,908,287
7767,1175,147,10.87,2.202857,417,0.676429,3.114286,238,410,110
7771,2051,323,9.786216,1.505676,876,0.575676,2.485946,487,692,122
7786,2367,249,10.083929,2.203214,850,0.777143,3.293214,442,762,230
8089,971,43,6.377708,1.73125,326,0.82625,2.876042,95,486,85
