@relation ENS_CLEAN_20

@attribute index numeric
@attribute NOM_MUN {Ensenada}
@attribute LOC numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute P_0A2 numeric
@attribute P_3A5 numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric

@data
66,Ensenada,1,Ensenada,98,12,14,6,0,0,10.67,1.29,7,0.78,2.33,6,7
67,Ensenada,1,Ensenada,98,13,16,6,0,0,8.75,1.57,7,0.94,2.29,6,6
68,Ensenada,1,Ensenada,98,14,65,6,4,3,9.27,1.63,26,1.38,2.83,3,28
69,Ensenada,1,Ensenada,98,15,52,4,6,0,10.37,1.5,25,1.06,2.26,10,20
70,Ensenada,1,Ensenada,98,16,128,9,11,3,9.24,2,44,1.36,3.12,14,42
71,Ensenada,1,Ensenada,98,17,10,9,0,3,9.75,1,4,0.83,2.5,14,5
72,Ensenada,1,Ensenada,98,18,95,9,0,3,10.08,1.64,29,1.09,3.39,10,41
73,Ensenada,1,Ensenada,98,19,104,5,8,3,10.06,1.79,35,1.09,3.35,18,44
74,Ensenada,1,Ensenada,98,20,0,0,0,0,0,0,0,0,0,0,0
75,Ensenada,1,Ensenada,98,21,115,6,6,3,9.42,1.91,49,1.24,2.56,10,42
76,Ensenada,1,Ensenada,98,22,291,21,21,4,10.13,1.88,104,1.4,3.03,22,93
77,Ensenada,1,Ensenada,98,23,116,4,6,4,8.67,1.84,46,1.27,2.7,11,47
78,Ensenada,1,Ensenada,98,24,12,4,0,4,9.44,1.25,5,1.09,2.4,11,3
79,Ensenada,1,Ensenada,98,25,121,5,11,4,8.92,1.85,36,1.68,3.56,9,41
81,Ensenada,1,Ensenada,100,1,106,6,7,0,10.43,1.74,32,0.99,3.42,14,19
82,Ensenada,1,Ensenada,100,2,149,11,6,3,9.56,1.45,49,1.46,3.24,9,50
83,Ensenada,1,Ensenada,100,3,83,6,6,0,11.87,1.63,28,1.22,3.32,11,32
84,Ensenada,1,Ensenada,100,4,107,6,6,4,10.01,1.87,32,1.1,3.34,11,42
85,Ensenada,1,Ensenada,100,5,96,3,7,0,11.22,1.66,30,1.16,3.69,11,29
86,Ensenada,1,Ensenada,100,6,105,3,12,0,11.12,1.78,33,1.19,3.28,11,31
87,Ensenada,1,Ensenada,100,7,196,9,18,3,9.57,2.11,66,1.72,3.27,19,70
88,Ensenada,1,Ensenada,100,8,125,5,4,3,9.38,1.59,46,1.87,2.84,11,53
89,Ensenada,1,Ensenada,100,9,39,0,3,3,8.7,2.55,14,1.63,3.25,5,25
90,Ensenada,1,Ensenada,100,10,148,16,7,3,9.69,1.53,47,1.41,3.29,16,70
91,Ensenada,1,Ensenada,100,11,65,4,5,3,10.93,1.76,28,0.87,3.1,11,18
92,Ensenada,1,Ensenada,100,12,72,4,3,3,10.98,1.85,28,1.04,3,9,28
93,Ensenada,1,Ensenada,100,13,293,18,20,3,11.97,1.45,93,0.94,3.45,52,82
94,Ensenada,1,Ensenada,100,14,59,4,5,0,10.93,1.18,19,0.98,3.28,10,15
95,Ensenada,1,Ensenada,100,15,185,19,11,4,9.4,1.91,64,1.85,3.08,21,77
96,Ensenada,1,Ensenada,100,16,183,16,20,4,9.54,1.8,64,1.83,3.1,19,81
97,Ensenada,1,Ensenada,100,17,119,9,8,4,9.2,1.64,44,1.34,2.9,11,61
