AGEB,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
0435,3632.0,325.0,9.617301587301586,2.1933333333333334,1321.0,0.853015873015873,3.3525396825396827,584.0,1241.0,419.0
044A,1539.0,224.0,9.569642857142856,2.2642857142857142,549.0,0.7507142857142857,3.152142857142857,254.0,478.0,135.0
0454,2211.0,188.0,10.994716981132076,1.9290566037735848,742.0,0.6618867924528301,3.1458490566037733,438.0,760.0,118.0
0492,557.0,15.0,7.67,0.9128260869565218,281.0,0.3726086956521739,1.6482608695652172,189.0,271.0,39.0
0505,730.0,135.0,14.026153846153846,1.9992307692307691,300.0,0.5061538461538462,2.8623076923076924,199.0,282.0,20.0
0524,3040.0,276.0,9.12704918032787,2.5001639344262294,1083.0,0.8168852459016394,3.296065573770492,497.0,1074.0,364.0
0543,1871.0,223.0,8.496363636363636,2.4614545454545453,679.0,0.9141818181818182,3.3274545454545454,232.0,669.0,174.0
0558,2426.0,194.0,12.341052631578947,1.7957894736842104,903.0,0.6357894736842106,3.039473684210526,612.0,873.0,196.0
0562,1575.0,272.0,11.725384615384616,1.908076923076923,630.0,0.6188461538461538,2.9080769230769232,317.0,469.0,146.0
0577,1199.0,209.0,12.899714285714285,1.5062857142857142,604.0,0.5111428571428571,2.523428571428571,335.0,512.0,62.0
0581,1122.0,154.0,10.826666666666666,1.9116666666666668,465.0,0.5645833333333333,2.6879166666666667,260.0,348.0,93.0
0628,1650.0,222.0,7.926808510638298,1.253404255319149,586.0,0.4780851063829787,2.286595744680851,414.0,476.0,138.0
0647,2666.0,305.0,12.970227272727271,1.7561363636363636,1028.0,0.5318181818181817,3.0579545454545456,673.0,998.0,146.0
1005,2987.0,4.0,11.065999999999999,1.5245,1228.0,0.8295,3.247,423.0,1286.0,483.0
101A,1370.0,0.0,10.290526315789474,1.5231578947368423,565.0,1.1057894736842104,3.033684210526316,209.0,594.0,330.0
1024,2102.0,27.0,10.365833333333335,1.2758333333333334,1018.0,0.7727777777777778,2.7808333333333333,412.0,829.0,384.0
1255,1774.0,0.0,9.985238095238095,1.450952380952381,887.0,1.0847619047619048,2.9,189.0,814.0,312.0
6006,5443.0,225.0,8.844594594594595,2.1554054054054053,1581.0,0.9937837837837838,3.7354054054054058,624.0,1987.0,548.0
6025,1327.0,74.0,13.703999999999999,1.341,542.0,0.56,2.8625,396.0,471.0,87.0
7451,1303.0,56.0,10.201,1.83,427.0,0.8055,3.28,193.0,444.0,129.0
7663,1248.0,34.0,9.2824,1.9243999999999999,396.0,1.0056,3.5452,184.0,458.0,163.0
7678,1719.0,59.0,8.436862745098038,2.0198039215686276,556.0,1.2280392156862745,3.6094117647058828,183.0,754.0,253.0
7697,2196.0,138.0,6.204905660377359,2.1652830188679246,708.0,0.8990566037735849,2.981698113207547,199.0,951.0,324.0
770A,1183.0,61.0,11.335862068965518,1.9151724137931034,373.0,0.7341379310344828,3.542758620689655,242.0,405.0,91.0
7714,2879.0,172.0,8.219375,2.2703125,905.0,0.869375,3.345625,329.0,1057.0,367.0
7729,2107.0,194.0,11.213225806451613,1.8758064516129032,746.0,0.6748387096774194,3.2680645161290323,431.0,680.0,222.0
7733,1946.0,243.0,9.135151515151515,1.9872727272727273,712.0,0.7027272727272728,2.9103030303030306,376.0,689.0,152.0
7748,1415.0,63.0,11.012222222222222,1.6661111111111113,637.0,0.7380555555555556,3.0127777777777776,313.0,533.0,137.0
7752,2851.0,242.0,9.811142857142856,1.9945714285714287,1038.0,0.786,3.1728571428571426,492.0,908.0,287.0
7767,1175.0,147.0,10.870000000000001,2.202857142857143,417.0,0.6764285714285715,3.1142857142857143,238.0,410.0,110.0
7771,2051.0,323.0,9.786216216216216,1.5056756756756757,876.0,0.5756756756756757,2.485945945945946,487.0,692.0,122.0
7786,2367.0,249.0,10.083928571428572,2.2032142857142856,850.0,0.7771428571428572,3.2932142857142854,442.0,762.0,230.0
8089,971.0,43.0,6.3777083333333335,1.73125,326.0,0.82625,2.876041666666667,95.0,486.0,85.0
