index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT
53,Ensenada,1,Ensenada,0083,27,52.0,0.0,0.0,4.0,12.13,1.53,25.0,0.73,2.26,9.0,9.0
55,Ensenada,1,Ensenada,0098,1,140.0,9.0,8.0,4.0,9.73,1.69,44.0,1.47,3.41,18.0,62.0
56,Ensenada,1,Ensenada,0098,2,142.0,11.0,10.0,4.0,9.64,1.81,52.0,1.41,2.96,7.0,50.0
57,Ensenada,1,Ensenada,0098,3,198.0,13.0,12.0,4.0,10.1,1.71,78.0,1.3,2.96,25.0,80.0
58,Ensenada,1,Ensenada,0098,4,89.0,5.0,7.0,3.0,9.52,1.78,36.0,1.35,2.78,8.0,32.0
59,Ensenada,1,Ensenada,0098,5,99.0,11.0,6.0,3.0,9.16,1.65,35.0,1.46,3.0,7.0,38.0
60,Ensenada,1,Ensenada,0098,6,131.0,11.0,5.0,3.0,9.88,1.6,57.0,1.22,2.43,5.0,46.0
61,Ensenada,1,Ensenada,0098,7,89.0,7.0,7.0,3.0,9.75,1.81,38.0,1.13,2.47,7.0,28.0
62,Ensenada,1,Ensenada,0098,8,9.0,0.0,0.0,0.0,11.57,1.25,4.0,1.29,3.0,7.0,4.0
63,Ensenada,1,Ensenada,0098,9,17.0,0.0,0.0,0.0,9.67,2.0,4.0,1.7,4.25,7.0,14.0
64,Ensenada,1,Ensenada,0098,10,98.0,4.0,5.0,4.0,9.87,2.27,42.0,1.17,2.88,10.0,45.0
65,Ensenada,1,Ensenada,0098,11,85.0,6.0,7.0,4.0,9.82,1.62,30.0,1.1,3.04,6.0,33.0
66,Ensenada,1,Ensenada,0098,12,14.0,6.0,0.0,0.0,10.67,1.29,7.0,0.78,2.33,6.0,7.0
67,Ensenada,1,Ensenada,0098,13,16.0,6.0,0.0,0.0,8.75,1.57,7.0,0.94,2.29,6.0,6.0
68,Ensenada,1,Ensenada,0098,14,65.0,6.0,4.0,3.0,9.27,1.63,26.0,1.38,2.83,3.0,28.0
69,Ensenada,1,Ensenada,0098,15,52.0,4.0,6.0,0.0,10.37,1.5,25.0,1.06,2.26,10.0,20.0
70,Ensenada,1,Ensenada,0098,16,128.0,9.0,11.0,3.0,9.24,2.0,44.0,1.36,3.12,14.0,42.0
71,Ensenada,1,Ensenada,0098,17,10.0,9.0,0.0,3.0,9.75,1.0,4.0,0.83,2.5,14.0,5.0
72,Ensenada,1,Ensenada,0098,18,95.0,9.0,0.0,3.0,10.08,1.64,29.0,1.09,3.39,10.0,41.0
73,Ensenada,1,Ensenada,0098,19,104.0,5.0,8.0,3.0,10.06,1.79,35.0,1.09,3.35,18.0,44.0
74,Ensenada,1,Ensenada,0098,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Ensenada,1,Ensenada,0098,21,115.0,6.0,6.0,3.0,9.42,1.91,49.0,1.24,2.56,10.0,42.0
76,Ensenada,1,Ensenada,0098,22,291.0,21.0,21.0,4.0,10.13,1.88,104.0,1.4,3.03,22.0,93.0
77,Ensenada,1,Ensenada,0098,23,116.0,4.0,6.0,4.0,8.67,1.84,46.0,1.27,2.7,11.0,47.0
78,Ensenada,1,Ensenada,0098,24,12.0,4.0,0.0,4.0,9.44,1.25,5.0,1.09,2.4,11.0,3.0
79,Ensenada,1,Ensenada,0098,25,121.0,5.0,11.0,4.0,8.92,1.85,36.0,1.68,3.56,9.0,41.0
81,Ensenada,1,Ensenada,0100,1,106.0,6.0,7.0,0.0,10.43,1.74,32.0,0.99,3.42,14.0,19.0
82,Ensenada,1,Ensenada,0100,2,149.0,11.0,6.0,3.0,9.56,1.45,49.0,1.46,3.24,9.0,50.0
83,Ensenada,1,Ensenada,0100,3,83.0,6.0,6.0,0.0,11.87,1.63,28.0,1.22,3.32,11.0,32.0
84,Ensenada,1,Ensenada,0100,4,107.0,6.0,6.0,4.0,10.01,1.87,32.0,1.1,3.34,11.0,42.0
85,Ensenada,1,Ensenada,0100,5,96.0,3.0,7.0,0.0,11.22,1.66,30.0,1.16,3.69,11.0,29.0
86,Ensenada,1,Ensenada,0100,6,105.0,3.0,12.0,0.0,11.12,1.78,33.0,1.19,3.28,11.0,31.0
87,Ensenada,1,Ensenada,0100,7,196.0,9.0,18.0,3.0,9.57,2.11,66.0,1.72,3.27,19.0,70.0
88,Ensenada,1,Ensenada,0100,8,125.0,5.0,4.0,3.0,9.38,1.59,46.0,1.87,2.84,11.0,53.0
89,Ensenada,1,Ensenada,0100,9,39.0,0.0,3.0,3.0,8.7,2.55,14.0,1.63,3.25,5.0,25.0
90,Ensenada,1,Ensenada,0100,10,148.0,16.0,7.0,3.0,9.69,1.53,47.0,1.41,3.29,16.0,70.0
91,Ensenada,1,Ensenada,0100,11,65.0,4.0,5.0,3.0,10.93,1.76,28.0,0.87,3.1,11.0,18.0
92,Ensenada,1,Ensenada,0100,12,72.0,4.0,3.0,3.0,10.98,1.85,28.0,1.04,3.0,9.0,28.0
93,Ensenada,1,Ensenada,0100,13,293.0,18.0,20.0,3.0,11.97,1.45,93.0,0.94,3.45,52.0,82.0
94,Ensenada,1,Ensenada,0100,14,59.0,4.0,5.0,0.0,10.93,1.18,19.0,0.98,3.28,10.0,15.0
95,Ensenada,1,Ensenada,0100,15,185.0,19.0,11.0,4.0,9.4,1.91,64.0,1.85,3.08,21.0,77.0
96,Ensenada,1,Ensenada,0100,16,183.0,16.0,20.0,4.0,9.54,1.8,64.0,1.83,3.1,19.0,81.0
97,Ensenada,1,Ensenada,0100,17,119.0,9.0,8.0,4.0,9.2,1.64,44.0,1.34,2.9,11.0,61.0
98,Ensenada,1,Ensenada,0100,18,79.0,6.0,12.0,3.0,12.04,1.57,26.0,0.93,3.16,13.0,24.0
99,Ensenada,1,Ensenada,0100,19,92.0,4.0,10.0,3.0,11.37,2.14,28.0,1.11,3.41,16.0,25.0
100,Ensenada,1,Ensenada,0100,20,87.0,4.0,9.0,3.0,11.38,1.63,29.0,0.98,3.35,14.0,35.0
101,Ensenada,1,Ensenada,0100,21,94.0,7.0,12.0,4.0,10.59,2.32,28.0,1.27,3.62,8.0,32.0
102,Ensenada,1,Ensenada,0100,22,170.0,13.0,15.0,3.0,9.42,1.87,59.0,1.34,3.04,19.0,67.0
103,Ensenada,1,Ensenada,0100,23,189.0,11.0,15.0,3.0,9.25,2.12,58.0,2.03,3.38,14.0,84.0
104,Ensenada,1,Ensenada,0100,24,106.0,7.0,12.0,3.0,9.28,2.08,36.0,1.56,3.03,10.0,47.0
105,Ensenada,1,Ensenada,0100,25,166.0,12.0,11.0,3.0,9.44,1.95,54.0,1.39,3.25,18.0,65.0
106,Ensenada,1,Ensenada,0100,26,124.0,10.0,11.0,4.0,9.42,2.21,41.0,1.53,3.35,11.0,43.0
107,Ensenada,1,Ensenada,0100,27,98.0,10.0,6.0,4.0,9.33,1.36,27.0,1.72,3.92,7.0,30.0
108,Ensenada,1,Ensenada,0100,28,14.0,0.0,0.0,0.0,8.82,1.8,7.0,1.17,2.8,0.0,8.0
109,Ensenada,1,Ensenada,0100,29,26.0,0.0,0.0,0.0,9.05,1.64,8.0,1.3,3.71,0.0,12.0
110,Ensenada,1,Ensenada,0100,30,36.0,0.0,0.0,5.0,6.89,2.58,12.0,1.06,3.6,0.0,23.0
